Token," ""ShortName"""," ""Series"""," ""CompanyName"""," ""ticksize"""," ""Lotsize"""," ""DateOfListing"""," ""DateOfDeListing"""," ""IssuePrice"""," ""FaceValue"""," ""ISINCode"""," ""52WeeksHigh"""," ""52WeeksLow"""," ""LifeTimeHigh"""," ""LifeTimeLow"""," ""HighDate"""," ""LowDate"""," ""Symbol"""," ""InstrumentType"""," ""PermittedToTrade"""," ""IssueCapital"""," ""WarningPercent"""," ""FreezePercent"""," ""CreditRating"""," ""IssueRate"""," ""IssueStartDate"""," ""InterestPaymentDate"""," ""IssueMaturityDate"""," ""BoardLotQty"""," ""Name"""," ""ListingDate"""," ""ExpulsionDate"""," ""ReAdmissionDate"""," ""RecordDate"""," ""ExpiryDate"""," ""NoDeliveryStartDate"""," ""NoDeliveryEndDate"""," ""MFill"""," ""AON"""," ""ParticipantInMarketIndex"""," ""BookClsStartDate"""," ""BookClsEndDate"""," ""EGM"""," ""AGM"""," ""Interest"""," ""Bonus"""," ""Rights"""," ""Dividends"""," ""LocalUpdateDateTime"""," ""DeleteFlag"""," ""Remarks"""," ""NormalMarketStatus"""," ""OddLotMarketStatus"""," ""SpotMarketStatus"""," ""AuctionMarketStatus"""," ""NormalMarketEligibility"""," ""OddLotlMarketEligibility"""," ""SpotMarketEligibility"""," ""AuctionlMarketEligibility"""," ""MarginPercentage"""," ""ExchangeCode"""
13126,REPIND,EQ,REPRO INDIA LTD,0.01,1,,,0,10.0,INE461B01014,665.4,381.6,980.0,43.0,,,,0,0,0,603.2,402.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,REPRO
1313,HARMAL,EQ,HARRISONS MALAYALAM LIMITED,0.01,1,,,0,10.0,INE544A01019,341.85,170.53,341.85,4.3,,,,0,0,0,241.39,160.92,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HARRMALAYA
13132,COMSYS,EQ,COMPULINK SYSTEMS LTD,0.01,1,,,0,10.0,INE206H01010,0.0,0.0,79.9,8.3,,,,0,0,0,67.8,45.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,COMSYS
13136,TQC23C,GS,91 DAY T-BILL 16 MAR 23,0.01,1,,,0,100.0,IN002022X379,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D160323
13137,THF23C,GS,182 DAY T-BILL 15 JUN 23,0.01,1,,,0,100.0,IN002022Y385,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D150623
13139,BHABO6,EQ,BHARAT BOND ETF-APRIL 2033,0.01,1,,,0,1000.0,INF754K01QX0,1288.86,1147.84,1288.86,858.69,,,,0,0,0,1508.68,1005.79,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,EBBETF0433
13143,ICIBMG,EQ,ICICI Pru Nifty10yr BMG-SecETF,0.01,1,,,0,10.0,INF109KC18O0,265.36,237.01,265.36,206.42,,,,0,0,0,270.65,244.88,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GSEC10IETF
13147,PVRLIM,EQ,PVR INOX LIMITED,0.01,1,,,0,10.0,INE191H01014,1658.2,830.0,2214.85,57.15,,,,0,0,0,1331.7,887.9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PVRINOX
1315,GALSUR,EQ,GALAXY SURFACTANTS LIMITED,0.01,1,,,0,10.0,INE600K01018,3148.0,2020.55,3585.65,871.8,,,,0,0,0,2730.4,1820.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GALAXYSURF
13162,CELFAS,EQ,CELEBRITY FASHIONS LTD,0.01,1,,,0,10.0,INE185H01016,18.47,8.36,269.9,1.8,,,,0,0,0,13.81,9.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CELEBRITY
1317,TECENG,BE,TECHNOFAB ENGINEERING LIMITED,0.01,1,,,0,10.0,INE509K01011,0.0,0.0,344.0,4.5,,,,0,0,0,6.45,5.84,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TECHNOFAB
13175,NITSPI,EQ,NITIN SPINNERS LTD,0.01,1,,,0,10.0,INE229H01012,494.35,290.5,494.35,3.2,,,,0,0,0,378.6,252.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,NITINSPIN
13176,HATRE1,BE,HATSUN AGRO PRODUCT LTD RE,0.01,1,,,0,10.0,INE473B20019,515.0,310.0,515.0,310.0,,,,0,0,0,660.85,283.25,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HATSUN-RE
1318,ZICELE,BE,ZICOM ELECTRONIC SECURITY SYST,0.01,1,,,0,10.0,INE871B01014,0.0,0.0,272.35,0.85,,,,0,0,0,1.68,1.52,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ZICOM
13182,ROYORC,EQ,ROYAL ORCHID HOTELS LTD,0.01,1,,,0,10.0,INE283H01019,593.4,301.1,593.4,17.5,,,,0,0,0,631.65,421.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ROHLTD
13188,RELCOM,BE,RELIANCE COMMUNICATIONS LIMITE,0.01,1,,,0,5.0,INE330H01018,2.58,1.26,844.7,0.5,,,,0,0,0,1.54,1.39,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RCOM
13189,TRAPP1,E1,TRANSWARRANTY FINANCE LTD PP,0.01,1,,,0,1.0,IN9804H01010,0.0,0.0,3.65,2.45,,,,0,0,0,2.85,2.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TFLPP
1319,KSKENE,BE,KSK ENERGY VENTURES LIMITED,0.01,1,,,0,10.0,INE143H01015,0.0,0.0,245.0,0.25,,,,0,0,0,0.57,0.52,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,KSK
13192,ENTNET,EQ,ENTERTAINMENT NETWORK (INDIA),0.01,1,,,0,10.0,INE265F01028,219.98,121.0,1005.0,95.05,,,,0,0,0,183.45,122.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ENIL
13197,GSPL,EQ,GUJARAT STATE PETRONET LIMITED,0.01,1,,,0,10.0,INE246F01010,429.35,261.45,469.7,25.95,,,,0,0,0,385.2,256.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GSPL
